ID,Nombre de la serie,Género,Elenco,Año,Temporadas,Pais
1,The Flash,Superhéroes,Grant Gustin,2014,7,Estados Unidos
2,How I Met Your Mother,Comedia,Josh Radnor,2005,9,Estados Unidos
3,Dora the Explorer,Infantil,Caitlin Sanchez,1999,10,Estados Unidos
4,CSI: New York,Policial,Gary Sinise,2004,9,Estados Unidos
5,Elite,Drama,Ester Expósito,2018,3,España
6,Luis Miguel: La Serie,Biografica,Diego Boneta,2018,2,México
7,Pokemon,Anime,Ikue Otani,1997,23,Japón
8,Grey´s Anatomy,Medicina,Ellen Pompeo,2005,17,Estados Unidos
9,Peaky Blinders,Crimen,Cillian Murphy,2013,5,Reino Unido
10,Once upon a time,Mágico,Jennifer Morrison,2011,7,Estados Unidos
11,The Walking Dead,Terror,Norman Reedus,2010,10,Estados Unidos
12,Titans,Superhéroes,Brenton Thwaites,2018,2,Estados Unidos
13,Black Mirror,Drama,,2011,5,Reino Unido
14,Arrow,Superhéroes,Stephen Amell,2012,8,Estados Unidos
15,DC's Legends of Tomorrow,Superhéroes,Caity Lotz,2016,6,Estados Unidos
16,Emily in Paris,Comedia,Lily Collins,2020,1,Estados Unidos
17,Tom and Jerry,Infantil,Samuel Vincent,2006,3,Estados Unidos
18,Black Lightning,Superhéroes,Cress Williams,2018,4,Estados Unidos
19,Riverdale,Drama,Cole Sprouse,2017,5,Estados Unidos
20,Wandavision,Superhéroes,Elizabeth Olsen,2021,1,Estados Unidos
21,You,Terror,Penn Badgley,2018,2,Estados Unidos
22,Stranger Things,Mágico,Millie Bobby Brown,2016,3,Estados Unidos
23,La Casa de Papel,Drama,Úrsula Corberó,2017,2,España
24,Modern Family,Comedia,Sofía Vergara,2009,11,Estados Unidos
25,The Good Doctor,Medicina,Freddie Highmore,2017,4,Estados Unidos
26,Black-Ish,Comedia,Anthony Anderson,2014,7,Estados Unidos
27,Grown-Ish,Comedia,Yara Shahidi,2018,3,Estados Unidos
28,Club de Cuervos,Comedia,Luis Gerardo Méndez,2015,4,México
29,The Office,Comedia,Steve Carrell,2005,9,Estados Unidos
30,Community,Comedia,Alison Brie,2009,6,Estados Unidos
31,21 Thunder,Drama,Stephanie Bennett,2017,1,Canada
32,El Chavo del 8,Comedia,Chespirito,1971,4,México
33,La Casa de las Flores,Comedia,Cecilia Suárez,2018,3,México
34,Breathe,Policial,Amit Sadh,2018,1,India
35,The Fresh Prince of Bel-Air,Comedia,Will Smith,1990,6,Estados Unidos
36,ICarly,Infantil,Miranda Cosgrove,2007,5,Estados Unidos
37,Wizards of Weverly Place,Infantil,Selena Gomez,2007,4,Estados Unidos
38,Captain Tsubasa,Anime,Akari Hibino,1983,2,Japón
39,Supergirl,Superhéroes,Melissa Benoist,2015,6,Estados Unidos
40,Smallville,Superhéroes,Tom Welling,2001,10,Estados Unidos
41,Prison Break,Drama,Wentworth Miller,2005,5,Estados Unidos
42,Arrested Development,Comedia,Jason Bateman,2003,5,Estados Unidos
